CREB3L1
PRC1
MFAP2
SPDEF
TRH
CDC2
CCNB2
CDC20
KIF11
OLFM1
KCNK7
TMSL8
GAST
HPSE
EFNA1
C10orf10
BCL6
ID4
CLDN4
GBP2
S100P
MFAP5
ANK3
MAP2K6
HLA-DOB
SORD
CTNNA2
CBR3
ATP1B1
DUOX1
CYP2J2
MGC11242
NR4A2
CR936791
CAPN6
OPRK1
HEY1
NDRG2
STEAP4
RAD54B
ALPL
SLC15A2
GREM2
MSX1
RANBP17
C11orf8
SOX17
IDH1
LRRC1
OFD1
COBL
HSD11B2
BIRC3
CKB
MMP26
SERPINA5
GALNT4
HPGD
MT1H
PAEP
DHRS3
GPX3
CXCL14
GADD45A
NNMT
SLC1A1
LAMB3
ABCC3
HABP2
C3
IMPA2
THBD
RARRES1
SNX10
ASS
ASS1
SERPING1
CLDN10
CLU
MRPS2
EDNRB
TSPAN8
SCYE1
COMP
THBS2
RARRES3
LMCD1
DPP4
TCN1
TAGLN
AOX1
COTL1
ADRA2A
LIF
PROM1
